Mg-glutamate,K-glutamate,Amino acid,Spermidine,3-PGA,NTPs,PEG-8000,DNA,MG_fluo_1,MG_fluo_2,MG_fluo_3,MG_fluo_4,MG_fluo_5,MG_fluo_6,MG_fluo_median,MG_fluo_std,MG_yield_1,MG_yield_2,MG_yield_3,MG_yield_4,MG_yield_5,MG_yield_6,MG_yield_median,MG_yield_std,GFP_fluo_1,GFP_fluo_2,GFP_fluo_3,GFP_fluo_4,GFP_fluo_5,GFP_fluo_6,GFP_fluo_median,GFP_fluo_std,GFP_yield_1,GFP_yield_2,GFP_yield_3,GFP_yield_4,GFP_yield_5,GFP_yield_6,GFP_yield_median,GFP_yield_std,name_plate,Buffer,well_1,well_2,well_3,well_4,well_5,well_6
2.01,40.0,2.25,0.495,45.0,3.735,2.49,8.3,58525.0,61044.0,49835.0,47277.0,58747.0,52303.6666666666,55414.3333333333,5580.863399617057,4.688492500428202,5.058308253199251,3.4127088991656316,3.0371675352957057,4.721084440529502,3.7751351880398296,4.231813844234016,0.7479421503646358,653.333333333333,1146.0,2156.33333333333,2198.5,1673.5,4974.5,1914.916666666665,1513.517541713367,-0.005536152590205724,0.0015666542920200859,0.0161326946573965,0.016740614190956474,0.009171655571534522,0.05676238395765235,0.012652175114465512,0.019919281231894338,plate 5,P5_Buffer 21,B6,E2,F21,I17,L13,O9
2.01,40.0,1.5075,0.0,45.0,3.735,3.0,10.0,57233.0,57473.0,51038.0,50332.6666666666,51994.0,47546.0,51516.0,3967.4064109477986,4.49881328146028,4.534047811299523,3.5893219799848346,3.485771611735051,3.729672857177817,3.076659570823857,3.659497418581326,0.5317081372352442,537.0,1111.0,4725.5,2298.5,1976.0,5378.0,2137.25,1957.455312389021,-0.007213337706509377,0.0010620570507252891,0.0531725350124408,0.018182320594655892,0.013532817442725265,0.0625796692965795,0.01585756901869058,0.02576191011450246,plate 5,P5_Buffer 22,C6,F2,G21,J17,M13,P9
1.5,53.6,1.8675,0.75,45.0,2.25,0.99,8.3,47227.6666666666,47381.6666666666,46742.3333333333,45419.6666666666,38294.0,49759.3333333333,46984.99999999995,3939.258868065095,3.0299248819398517,3.0525337052533654,2.9586728327093885,2.7644914238175584,1.7183684455210602,3.4016002348968657,2.99429885732462,0.5279358295753552,1249.33333333333,950.333333333333,2435.0,1824.5,2568.0,2263.0,2043.75,662.2902050768542,0.003056417575842772,-0.0012542845712184489,0.0201502498357056,0.011348632241120645,0.022067719352625827,0.0176705148213426,0.014509573531231622,0.008716347507357286,plate 5,P5_Buffer 23,A10,D6,G2,H21,K17,N13
3.0,53.6,1.125,0.75,45.0,2.25,2.49,10.0,47903.3333333333,47683.6666666666,46880.3333333333,40809.0,41814.0,38212.0,44347.16666666665,4134.79453428348,3.129119870806724,3.0968704886344125,2.978932687366953,2.0875969561281216,2.2351415498299496,1.7063299811593189,2.607037118598451,0.5541413386860775,15573.3333333333,29455.3333333333,46378.5,48941.5,46742.5,48533.0,46560.5,13737.319969669285,0.20956644284174714,0.4097041258033005,0.6536865033453599,0.6906374384721761,0.6589343146548258,0.6847480678130639,0.6563104090000929,0.18079575049958863,plate 5,P5_Buffer 24,B10,E6,H2,I21,L17,O13
1.5,80.0,2.25,0.495,29.7,3.735,2.01,10.0,55283.6666666666,55593.6666666666,64082.0,51850.3333333333,42980.6666666666,47835.0,53566.99999999995,7254.179033622758,4.2126306002104235,4.258141867919445,5.504318676747662,3.7085810761212654,2.406420514326257,3.1190878171719447,3.9606058381658444,0.9721983637711251,6528.33333333333,5215.0,5838.0,41166.0,31877.0,40426.5,19202.666666666664,17813.45206747376,0.07916409862713511,0.06022968785854945,0.06921151875359682,0.5785375570525276,0.44461744921288865,0.5678761381971705,0.26189077392001187,0.23444139341866846,plate 5,P5_Buffer 25,C10,F6,I2,J21,M17,P13
3.0,80.0,1.8675,1.245,29.7,3.015,0.99,10.0,56578.3333333333,48607.0,48642.0,38865.6666666666,44311.0,40465.0,46459.0,6476.198685271413,4.402701313954342,3.232425554821508,3.2375639237563973,1.8022951381242456,2.6017274706990676,2.0370941300252077,2.917076512760288,0.8679341571382838,31594.0,28264.0,33582.5,44610.5,66318.0,47528.0,39096.5,14117.745488096416,0.4405374200904193,0.39252859684722863,0.46920575192798225,0.6281971341279542,0.9411555517110056,0.6702589184558847,0.5487014430279682,0.1858024997974929,plate 5,P5_Buffer 26,A14,D10,G6,J2,K21,N17
2.01,80.0,1.125,0.75,45.0,3.735,0.0,10.0,53225.0,53454.3333333333,47511.3333333333,52901.0,52341.0,46221.3333333333,52621.0,3205.4003390112457,3.9103966331449316,3.9440651838802028,3.0715701387359613,3.8628300178619543,3.780616114903722,2.882184540850033,3.8217230663828383,0.429584788350869,1447.66666666666,1026.66666666666,1022.0,1719.5,2000.5,1995.5,1583.5833333333298,445.4186971162553,0.005915801943179903,-0.0001537820163946517,-0.00022106164856719403,0.009834840517236255,0.013886035511631624,0.013813950191446652,0.00787532123020808,0.005862119235009783,plate 5,P5_Buffer 27,B14,E10,H6,K2,L21,O17
0.0,40.0,1.5075,0.75,45.0,3.015,2.01,6.7,45172.6666666666,47100.3333333333,45259.3333333333,44705.3333333333,43107.3333333333,43918.3333333333,44938.99999999995,1360.664521746906,2.7282292201913383,3.0112310063862586,2.7409528004110695,2.6596197606988183,2.4250165161858623,2.5440798649343024,2.6939244904450783,0.18235500055243803,727.333333333333,579.0,583.5,1370.0,1540.5,1942.5,1048.6666666666665,574.5328480761727,-0.004469289851468153,-0.006607821016955622,-0.0065429442287891475,0.004796076636306785,0.007254186054614295,0.01304984579748596,0.00016339339241931575,0.007561380071508842,plate 5,P5_Buffer 28,C14,F10,I6,L2,M21,P17
3.0,80.0,2.25,0.75,45.0,3.735,2.01,8.3,48917.3333333333,50488.6666666666,50180.6666666666,53058.0,47691.3333333333,51343.6666666666,50334.6666666666,1868.6966154891925,3.2779857593775232,3.5086740561305585,3.4634564095035305,3.8858792727984586,3.097996036115393,3.6341970686828597,3.4860652328170447,0.25044099181212864,20850.6666666666,5315.0,4476.0,5055.5,17697.5,14485.5,9900.25,7261.825671441525,0.28565009545297737,0.061671394262248866,0.049575477535210744,0.05793016614464888,0.24019068970032947,0.1938830800135041,0.12777723713787648,0.09557229686461594,plate 5,P5_Buffer 29,A18,D14,G10,J6,M2,N21
3.0,26.4,1.125,0.0,45.0,3.015,3.0,8.3,46618.3333333333,47878.0,47795.0,51513.0,42237.0,46952.0,47373.5,2981.267133035637,2.9404683256257798,3.125400670434809,3.113215395532071,3.659056986958335,2.297242408671614,2.9894541094717315,3.0513347525019014,0.3995466634153939,5878.66666666666,2629.0,4468.5,3652.0,14278.5,16639.0,5173.58333333333,5978.992766034786,0.06979781269110118,0.022947160258882472,0.04946734955493329,0.03769581676872753,0.19089874775784632,0.2249302274171711,0.05963258112301723,0.07868903736344246,plate 5,P5_Buffer 30,B18,E14,H10,K6,N2,O21
